num_incident,accident_type
2010S000828,collision
2010S000829,fall--motorcycle
2010S000830,crash
2010S000831,collision
2010S000832,collision
2010S000833,collision
2010S000834,run_over
2010S000835,collision
2010S000836,crash
2010S000837,run_over
2010S000838,collision
2010S000839,collision
2010S000840,run_over
2010S000841,collision
2010S000842,fall--motorcycle
2010S000843,fall--motorcycle
2010S000844,frontal
2010S000845,run_over
2010S000846,frontal
2010S000847,collision
2010S000848,run_over
2010S000849,collision
2010S000850,run_over
2010S000851,run_over
2010S000852,collision
2010S000853,collision
2010S000854,frontal
2010S000855,frontal
2010S000856,frontal
2010S000857,collision
2010S000858,run_over
2010S000859,fall--motorcycle
2010S000860,crash
2010S000861,collision
2010S000862,frontal
2010S000863,crash
2010S000864,collision
2010S000865,frontal
2010S000866,run_over
2010S000867,collision
2010S000868,frontal
2010S000869,run_over
2010S000870,frontal
2010S000871,collision
2010S000872,collision
2010S000873,collision
2010S000874,crash
2010S000875,collision
2010S000876,collision
2010S000877,fall--motorcycle
2010S000878,collision
2010S000879,fall--motorcycle
2010S000880,run_over
2010S000881,fall--motorcycle
2010S000882,collision
2010S000883,misc_type
2010S000884,frontal
2010S000885,collision
2010S000886,collision
2010S000887,frontal
2010S000888,fall--motorcycle
2010S000889,overturning
2010S000890,crash
2010S000891,fall--motorcycle
2010S000892,run_over
2010S000893,frontal
2010S000894,collision
2010S000895,run_over
2010S000896,frontal
2010S000897,run_over
2010S000898,misc_type
2010S000899,frontal
2010S000900,crash
2010S000901,frontal
2010S000902,run_over
2010S000903,frontal
2010S000904,crash
2010S000905,crash
2010S000906,collision
2010S000907,collision
2010S000908,frontal
2010S000909,collision
2010S000910,collision
2010S000911,crash
2010S000912,frontal
2010S000913,collision
2010S000914,collision
2010S000915,fall_inside_vehicle
2010S000916,frontal
2010S000917,run_over
2010S000918,frontal
2010S000919,collision
2010S000920,collision
2010S000921,collision
2010S000922,run_over
2010S000923,crash
2010S000924,collision
2010S000925,run_over
2010S000926,collision
2010S000927,run_over
2010S000928,fall_inside_vehicle
2010S000929,frontal
2010S000930,run_over
2010S000931,frontal
2010S000932,run_over
2010S000933,run_over
2010S000934,collision
2010S000935,run_over
2010S000936,collision
2010S000937,collision
2010S000938,run_over
2010S000939,frontal
2010S000940,fall--motorcycle
2010S000941,collision
2010S000942,frontal
2010S000943,crash
2010S000944,run_over
2010S000945,run_over
2010S000946,crash
2010S000947,fall--motorcycle
2010S000948,frontal
2010S000949,crash
2010S000950,frontal
2010S000951,frontal
2010S000952,frontal
2010S000953,collision
2010S000954,run_over
2010S000955,collision
2010S000956,collision
2010S000957,collision
2010S000958,collision
2010S000959,frontal
2010S000960,collision
2010S000961,fall--motorcycle
2010S000962,frontal
2010S000963,frontal
2010S000964,overturning
2010S000965,collision
2010S000966,collision
2010S000967,fall_inside_vehicle
2010S000968,collision
2010S000969,frontal
2010S000970,frontal
2010S000971,crash
2010S000972,run_over
2010S000973,collision
2010S000974,frontal
2010S000975,collision
2010S000976,run_over
2010S000977,crash
2010S000978,crash
2010S000979,collision
2010S000980,collision
2010S000981,frontal
2010S000982,crash
2010S000983,misc_type
2010S000984,crash
2010S000985,crash
2010S000986,collision
2010S000987,run_over
2010S000988,collision
2010S000989,collision
2010S000990,collision
2010S000991,fall--motorcycle
2010S000992,run_over
2010S000993,collision
2010S000994,frontal
2010S000995,collision
2010S000996,collision
2010S000997,crash
2010S000998,collision
2010S000999,collision
2010S001000,collision
2010S001001,frontal
2010S001002,collision
2010S001003,run_over
2010S001004,run_over
2010S001005,run_over
2010S001006,collision
2010S001007,frontal
2010S001008,crash
2010S001009,run_over
2010S001010,frontal
2010S001011,collision
2010S001012,collision
2010S001013,frontal
2010S001014,run_over
2010S001015,collision
2010S001016,frontal
2010S001017,frontal
2010S001018,collision
2010S001019,collision
2010S001020,fall--motorcycle
2010S001021,collision
2010S001022,frontal
2010S001023,fall--motorcycle
2010S001024,fall_inside_vehicle
2010S001025,frontal
2010S001026,run_over
2010S001027,collision
2010S001028,collision
2010S001029,misc_type
2010S001030,collision
2010S001031,frontal
2010S001032,frontal
2010S001033,collision
2010S001034,collision
2010S001035,fall_inside_vehicle
2010S001036,collision
2010S001037,collision
2010S001038,collision
2010S001039,collision
2010S001040,collision
2010S001041,run_over
2010S001042,fall--motorcycle
2010S001043,run_over
2010S001044,collision
2010S001045,fall--motorcycle
2010S001046,fall_inside_vehicle
2010S001047,fall--motorcycle
2010S001048,collision
2010S001049,frontal
2010S001050,fall--motorcycle
2010S001051,run_over
2010S001052,collision
2010S001053,frontal
2010S001054,collision
2010S001055,crash
2010S001056,crash
2010S001057,collision
2010S001058,collision
2010S001059,collision
2010S001060,collision
2010S001061,frontal
2010S001062,run_over
2010S001063,collision
2010S001064,run_over
2010S001065,run_over
2010S001066,collision
2010S001067,collision
2010S001068,frontal
2010S001069,frontal
2010S001070,collision
2010S001071,collision
2010S001072,collision
2010S001073,run_over
2010S001074,frontal
2010S001075,collision
2010S001076,collision
2010S001077,collision
2010S001078,frontal
2010S001079,fall_inside_vehicle
2010S001080,frontal
2010S001081,collision
2010S001082,collision
2010S001083,collision
2010S001084,collision
2010S001085,frontal
2010S001086,fall--motorcycle
2010S001087,collision
2010S001088,crash
2010S001089,collision
2010S001090,collision
2010S001091,crash
2010S001092,collision
2010S001093,collision
2010S001094,frontal
2010S001095,collision
2010S001096,collision
2010S001097,collision
2010S001098,fall--motorcycle
2010S001099,collision
2010S001100,collision
2010S001101,frontal
2010S001102,frontal
2010S001103,run_over
2010S001104,crash
2010S001105,collision
2010S001106,collision
2010S001107,frontal
2010S001108,collision
2010S001109,frontal
2010S001110,collision
2010S001111,frontal
2010S001112,collision
2010S001113,frontal
2010S001114,collision
2010S001115,collision
2010S001116,crash
2010S001117,frontal
2010S001118,collision
2010S001119,frontal
2010S001120,collision
2010S001121,collision
2010S001122,fall_inside_vehicle
2010S001123,collision
2010S001124,collision
2010S001125,collision
2010S001126,collision
2010S001127,collision
2010S001128,fall_inside_vehicle
2010S001129,fall--motorcycle
2010S001130,frontal
2010S001131,collision
2010S001132,run_over
2010S001133,collision
2010S001134,frontal
2010S001135,crash
2010S001136,frontal
2010S001137,collision
2010S001138,fall--motorcycle
2010S001139,crash
2010S001140,misc_type
2010S001141,collision
2010S001142,fall--motorcycle
2010S001143,crash
2010S001144,frontal
2010S001145,run_over
2010S001146,frontal
2010S001147,collision
2010S001148,collision
2010S001149,fall--motorcycle
2010S001150,run_over
2010S001151,crash
2010S001152,frontal
2010S001153,run_over
2010S001154,collision
2010S001155,frontal
2010S001156,frontal
2010S001157,collision
2010S001158,collision
2010S001159,run_over
2010S001160,run_over
2010S001161,run_over
2010S001162,collision
2010S001163,run_over
2010S001164,collision
2010S001165,frontal
2010S001166,frontal
2010S001167,crash
2010S001168,fall--motorcycle
2010S001169,crash
2010S001170,collision
2010S001171,collision
2010S001172,fall--motorcycle
2010S001173,misc_type
2010S001174,frontal
2010S001175,fall--motorcycle
2010S001176,frontal
2010S001177,frontal
2010S001178,frontal
2010S001179,crash
2010S001180,Other_types
2010S001181,collision
2010S001182,collision
2010S001183,run_over
2010S001184,collision
2010S001185,collision
2010S001186,frontal
2010S001187,frontal
2010S001188,run_over
2010S001189,collision
2010S001190,collision
2010S001191,collision
2010S001192,collision
2010S001193,crash
2010S001194,run_over
2010S001195,collision
2010S001196,collision
2010S001197,run_over
2010S001198,crash
2010S001199,crash
2010S001200,collision
2010S001201,run_over
2010S001202,collision
2010S001203,collision
2010S001204,collision
2010S001205,run_over
2010S001206,frontal
2010S001207,collision
2010S001208,collision
2010S001209,collision
2010S001210,collision
2010S001211,collision
2010S001212,collision
2010S001213,collision
2010S001214,run_over
2010S001215,collision
2010S001216,run_over
2010S001217,collision
2010S001218,collision
2010S001219,collision
2010S001220,collision
2010S001221,run_over
2010S001222,frontal
2010S001223,collision
2010S001224,run_over
2010S001225,fall--motorcycle
2010S001226,crash
2010S001227,frontal
2010S001228,crash
2010S001229,collision
2010S001230,collision
2010S001231,frontal
2010S001232,collision
2010S001233,frontal
2010S001234,collision
2010S001235,run_over
2010S001236,collision
2010S001237,run_over
2010S001238,frontal
2010S001239,collision
2010S001240,run_over
2010S001241,collision
2010S001242,collision
2010S001243,collision
2010S001244,collision
2010S001245,run_over
2010S001246,collision
2010S001247,collision
2010S001248,misc_type
2010S001249,frontal
2010S001250,fall_inside_vehicle
2010S001251,collision
2010S001252,collision
2010S001253,frontal
2010S001254,run_over
2010S001255,collision
2010S001256,collision
2010S001257,collision
2010S001258,run_over
2010S001259,collision
2010S001260,collision
2010S001261,frontal
2010S001262,run_over
2010S001263,collision
2010S001264,crash
2010S001265,collision
2010S001266,collision
2010S001267,frontal
2010S001268,fall--motorcycle
2010S001269,crash
2010S001270,frontal
2010S001271,frontal
2010S001272,collision
2010S001273,collision
2010S001274,frontal
2010S001275,collision
2010S001276,crash
2010S001277,crash
2010S001278,crash
2010S001279,overturning
2010S001280,collision
2010S001281,collision
2010S001282,frontal
2010S001283,frontal
2010S001284,run_over
2010S001285,collision
2010S001286,frontal
2010S001287,collision
2010S001288,run_over
2010S001289,collision
2010S001290,frontal
2010S001291,fall--motorcycle
2010S001292,collision
2010S001293,collision
2010S001294,collision
2010S001295,collision
2010S001296,run_over
2010S001297,crash
2010S001298,run_over
2010S001299,collision
2010S001300,run_over
2010S001301,fall--motorcycle
2010S001302,collision
2010S001303,collision
2010S001304,run_over
2010S001305,collision
2010S001306,collision
2010S001307,fall--motorcycle
2010S001308,collision
2010S001309,collision
2010S001310,fall--motorcycle
2010S001311,frontal
2010S001312,frontal
2010S001313,fall--motorcycle
2010S001314,run_over
2010S001315,frontal
2010S001316,fall--motorcycle
2010S001317,collision
2010S001318,collision
2010S001319,misc_type
2010S001320,misc_type
2010S001321,frontal
2010S001322,collision
2010S001323,collision
2010S001324,collision
2010S001325,frontal
2010S001326,run_over
2010S001327,collision
2010S001328,collision
2010S001329,collision
2010S001330,collision
2010S001331,collision
2010S001332,collision
2010S001333,collision
2010S001334,frontal
2010S001335,run_over
2010S001336,collision
2010S001337,collision
2010S001338,collision
2010S001339,frontal
2010S001340,collision
2010S001341,collision
2010S001342,frontal
2010S001343,collision
2010S001344,collision
2010S001345,collision
2010S001346,frontal
2010S001347,fall_inside_vehicle
2010S001348,frontal
2010S001349,collision
2010S001350,frontal
2010S001351,frontal
2010S001352,frontal
2010S001353,frontal
2010S001354,collision
2010S001355,collision
2010S001356,crash
2010S001357,collision
2010S001358,fall_inside_vehicle
2010S001359,collision
2010S001360,collision
2010S001361,collision
2010S001362,collision
2010S001363,collision
2010S001364,collision
2010S001365,run_over
2010S001366,collision
2010S001367,collision
2010S001368,frontal
2010S001369,collision
2010S001370,overturning
2010S001371,collision
2010S001372,fall--motorcycle
2010S001373,collision
2010S001374,frontal
2010S001375,frontal
2010S001376,collision
2010S001377,collision
2010S001378,frontal
2010S001379,collision
2010S001380,misc_type
2010S001381,collision
2010S001382,frontal
2010S001383,collision
2010S001384,collision
2010S001385,run_over
2010S001386,collision
2010S001387,frontal
2010S001388,run_over
2010S001389,collision
2010S001390,run_over
2010S001391,fall--motorcycle
2010S001392,collision
2010S001393,run_over
2010S001394,collision
2010S001395,collision
